Fly_index,Stimulation,Fly_line,Experiment,Slope[mm/s²],Backward distance traveled [mm],Vmin [mm/s]
37,on0,M0MDN3-CWAF22,M0MDN3-CWAF26_200730_110102_s0a0_p6-0,-33.161988753730206,-9.270263698763689,-7.94336387051812
38,on0,M0MDN3-CWAF22,M0MDN3-CWAF29_200724_143415_s0a0_p6-0,,,
39,on0,M0MDN3-CWAF22,M0MDN3-CWAF29_200806_095003_s0a0_p6-0,,,
40,on0,M0MDN3-CWAF22,M0MDN3-CWAF16_200710_124757_s0a0_p6-0,-65.02184092416796,-11.14480606360751,-11.304873699943792
41,on0,M0MDN3-CWAF22,M0MDN3-CWAF33_200807_084102_s0a0_p6-0,,,
42,on0,M0MDN3-CWAF22,M0MDN3-CWAF33_200820_094601_s0a0_p6-0,-15.916736721113011,-1.0970792640336584,-3.1503936530634564
43,on0,M0MDN3-CWAF22,M0MDN3-CWAF33_200724_133302_s0a0_p6-0,-24.307578065798314,-8.707212310942552,-7.085801250901063
44,on0,M0MDN3-CWAF22,M0MDN3-CWAF28_200820_085756_s0a0_p6-0,-51.459463865705274,-12.237746429271146,-9.962465729308283
45,on0,M0MDN3-CWAF22,M0MDN3-CWAF28_200724_144610_s0a0_p6-0,-52.84198692365779,-7.457203867152073,-9.158025831045995
46,on0,M0MDN3-CWAF22,M0MDN3-CWAF28_200806_093700_s0a0_p6-0,-32.06153496533563,-10.455958009217973,-7.5656755060264596
47,on0,M0MDN3-CWAF22,M0MDN3-CWAF4_200626_113235_s0a0_p6-0,-5.550993762249575,-1.6867425342594784,-3.536272231954986
48,on0,M0MDN3-CWAF22,M0MDN3-CWAF3_200626_112205_s0a0_p6-0,-18.77028730997314,-3.2686751306667787,-7.678810308643948
49,on0,M0MDN3-CWAF22,M0MDN3-CWAF5_200710_103400_s0a0_p6-0,-8.322574615886946,-3.942316273247077,-2.701779640956131
50,on0,M0MDN3-CWAF22,M0MDN3-CWAF36_200807_091601_s0a0_p6-0,-32.22434688984966,-10.898727247163942,-6.266061782112744
51,on0,M0MDN3-CWAF22,M0MDN3-CWAF36_200724_124320_s0a0_p6-0,-46.398926002839666,-19.339506935451386,-10.64866633286383
52,on0,M0MDN3-CWAF22,M0MDN3-CWAF36_200820_102401_s0a0_p6-0,-25.89434405535585,-2.9925322987699836,-5.0742740308811936
53,on0,M0MDN3-CWAF22,M0MDN3-CWAF24_200730_104451_s0a0_p6-0,-49.82584268952422,-14.944136220569087,-8.908226141300995
54,on0,M0MDN3-CWAF22,M0MDN3-CWAF24_200717_103447_s0a0_p6-0,,,
55,on0,M0MDN3-CWAF22,M0MDN3-CWAF24_200813_085709_s0a0_p6-0,-4.28735842414649,-19.72435709934093,-10.636776080558302
56,on0,M0MDN3-CWAF22,M0MDN3-CWAF27_200804_085636_s0a0_p6-0,-22.0851853749058,-12.528107242667073,-6.085990107008825
57,on0,M0MDN3-CWAF22,M0MDN3-CWAF27_200819_083811_s0a0_p6-0,-20.204108758194288,-15.0669504327517,-7.478817242709718
58,on0,M0MDN3-CWAF22,M0MDN3-CWAF27_200720_082408_s0a0_p6-0,-10.912982596757656,-3.4127742504307848,-6.455543802170405
59,on0,M0MDN3-CWAF22,M0MDN3-CWAF30_200820_090346_s0a0_p6-0,-33.125542024114225,-0.2679345375620471,-4.176144235972289
60,on0,M0MDN3-CWAF22,M0MDN3-CWAF30_200806_095301_s0a0_p6-0,-43.893342765551544,-13.44352692368275,-8.013372202978616
