Fly_index,Stimulation,Fly_line,Experiment,Slope[mm/s²],Backward distance traveled [mm],Vmin [mm/s]
16,on2,M0MDN3-CWAF22,M0MDN3-CWAF6_200730_092339_s0a0_p6-0,-3.1263487381171107,-1.6860935670924908,-1.7420158183810595
17,on2,M0MDN3-CWAF22,M0MDN3-CWAF6_200717_090045_s0a0_p6-0,-9.261769834266397,0.0,2.542269023679736
18,on2,M0MDN3-CWAF22,M0MDN3-CWAF1_200724_092007_s0a0_p6-0,,,
19,on2,M0MDN3-CWAF22,M0MDN3-CWAF1_200626_103701_s0a0_p6-0,-36.02379227529139,-12.37468739996102,-10.323445830255118
20,on2,M0MDN3-CWAF22,M0MDN3-CWAF1_200710_104145_s0a0_p6-0,-40.722409178776296,-10.539306149769512,-9.211786135762294
21,on2,M0MDN3-CWAF22,M0MDN3-CWAF31_200806_100501_s0a0_p6-0,-30.21165486164412,-10.269410336184867,-10.416885647937569
22,on2,M0MDN3-CWAF22,M0MDN3-CWAF31_200724_141104_s0a0_p6-0,-24.795397104811983,-12.659165365675246,-9.934668359278994
23,on2,M0MDN3-CWAF22,M0MDN3-CWAF31_200820_091206_s0a0_p6-0,,,
24,on2,M0MDN3-CWAF22,M0MDN3-CWAF14_200724_095829_s0a0_p6-0,-7.458812963308589,-8.81795364673134,-5.0227197459482245
25,on2,M0MDN3-CWAF22,M0MDN3-CWAF14_200710_121305_s0a0_p6-0,-89.89264698479775,-10.490768033832842,-10.24740075921259
26,on2,M0MDN3-CWAF22,M0MDN3-CWAF14_200806_090201_s0a0_p6-0,,,
27,on2,M0MDN3-CWAF22,M0MDN3-CWAF39_200807_094800_s0a0_p6-0,-32.070371771101016,-3.7890691875670885,-6.507747361404636
28,on2,M0MDN3-CWAF22,M0MDN3-CWAF39_200724_112912_s0a0_p6-0,-23.185738908513933,-1.3655251987306867,-5.720000129149435
29,on2,M0MDN3-CWAF22,M0MDN3-CWAF8_200702_105340_s0a0_p6-0,-86.90005112225545,-15.119238879267453,-11.377154382072813
30,on2,M0MDN3-CWAF22,M0MDN3-CWAF8_200730_094325_s0a0_p6-0,-29.449163499294613,-8.812424217622517,-6.52314350483631
31,on2,M0MDN3-CWAF22,M0MDN3-CWAF8_200717_091659_s0a0_p6-0,-27.605130939800002,-1.192288883604223,-5.684297644906099
32,on2,M0MDN3-CWAF22,M0MDN3-CWAF35_200820_100101_s0a0_p6-0,-4.334613506319038,-9.630240547664238,-7.383965777079615
33,on2,M0MDN3-CWAF22,M0MDN3-CWAF35_200807_090702_s0a0_p6-0,-46.30831674119465,-12.55448785488555,-9.939915813611455
34,on2,M0MDN3-CWAF22,M0MDN3-CWAF35_200724_125800_s0a0_p6-0,-98.73523812538846,-16.37188088777577,-9.646323196463925
35,on2,M0MDN3-CWAF22,M0MDN3-CWAF26_200717_112019_s0a0_p6-0,-31.20504117645067,-0.6638055479115548,-6.145478716188199
36,on2,M0MDN3-CWAF22,M0MDN3-CWAF26_200813_091201_s0a0_p6-0,,,
37,on2,M0MDN3-CWAF22,M0MDN3-CWAF26_200730_110102_s0a0_p6-0,-24.830160230813046,-7.05502896573672,-5.651922453094915
38,on2,M0MDN3-CWAF22,M0MDN3-CWAF29_200724_143415_s0a0_p6-0,,,
39,on2,M0MDN3-CWAF22,M0MDN3-CWAF29_200806_095003_s0a0_p6-0,-63.51245702555693,-24.743575484062863,-13.054510277307756
40,on2,M0MDN3-CWAF22,M0MDN3-CWAF16_200710_124757_s0a0_p6-0,-10.597831630480256,-3.0732412909115747,-8.166891872743264
41,on2,M0MDN3-CWAF22,M0MDN3-CWAF33_200807_084102_s0a0_p6-0,,,
42,on2,M0MDN3-CWAF22,M0MDN3-CWAF33_200820_094601_s0a0_p6-0,-1.0362547325887814,-3.5602883918423744,-3.5279949822265895
43,on2,M0MDN3-CWAF22,M0MDN3-CWAF33_200724_133302_s0a0_p6-0,-24.05199007748602,-5.952050787992542,-4.9779989081628475
44,on2,M0MDN3-CWAF22,M0MDN3-CWAF28_200820_085756_s0a0_p6-0,-9.60564077610014,-7.590526662917297,-4.981782469243771
45,on2,M0MDN3-CWAF22,M0MDN3-CWAF28_200724_144610_s0a0_p6-0,-22.9728090979739,-11.426053147090247,-8.706309137614955
46,on2,M0MDN3-CWAF22,M0MDN3-CWAF28_200806_093700_s0a0_p6-0,-10.206800121147106,-8.305359052680508,-6.82035817888131
47,on2,M0MDN3-CWAF22,M0MDN3-CWAF4_200626_113235_s0a0_p6-0,-1.1797004389868821,-2.4487457530451024,-5.170368632760022
48,on2,M0MDN3-CWAF22,M0MDN3-CWAF3_200626_112205_s0a0_p6-0,-9.182324755534031,-5.859593792624379,-3.9927684276583086
49,on2,M0MDN3-CWAF22,M0MDN3-CWAF5_200710_103400_s0a0_p6-0,-12.94381899488977,-3.741456696530658,-3.4991681099803413
50,on2,M0MDN3-CWAF22,M0MDN3-CWAF36_200807_091601_s0a0_p6-0,-9.765810472379282,-7.795668181882204,-3.5978216630231743
51,on2,M0MDN3-CWAF22,M0MDN3-CWAF36_200724_124320_s0a0_p6-0,-5.196358837764752,-15.869354653027889,-8.165623507429906
52,on2,M0MDN3-CWAF22,M0MDN3-CWAF36_200820_102401_s0a0_p6-0,-11.178105565389076,-6.185501043452684,-4.090192073346424
53,on2,M0MDN3-CWAF22,M0MDN3-CWAF24_200730_104451_s0a0_p6-0,-82.18783533418612,-7.321373004464481,-8.434847190743938
54,on2,M0MDN3-CWAF22,M0MDN3-CWAF24_200717_103447_s0a0_p6-0,,,
55,on2,M0MDN3-CWAF22,M0MDN3-CWAF24_200813_085709_s0a0_p6-0,-33.91319448974652,-11.100955605477951,-7.704750807096598
56,on2,M0MDN3-CWAF22,M0MDN3-CWAF27_200804_085636_s0a0_p6-0,-24.7849790021705,-1.2524205469254672,-4.603493169083447
57,on2,M0MDN3-CWAF22,M0MDN3-CWAF27_200819_083811_s0a0_p6-0,-20.6226719816769,-11.433903024495592,-11.685337119862409
58,on2,M0MDN3-CWAF22,M0MDN3-CWAF27_200720_082408_s0a0_p6-0,,,
59,on2,M0MDN3-CWAF22,M0MDN3-CWAF30_200820_090346_s0a0_p6-0,-17.73456661506227,-8.597731295662705,-4.5020820827944545
60,on2,M0MDN3-CWAF22,M0MDN3-CWAF30_200806_095301_s0a0_p6-0,-79.272349642505,-14.295274390246632,-10.01483102282622
61,on2,M0MDN3-CWAF22,M0MDN3-CWAF30_200724_142001_s0a0_p6-0,-91.62890306507046,-24.875977288626828,-14.782445889935733
62,on2,M0MDN3-CWAF22,M0MDN3-CWAF23_200717_104600_s0a0_p6-0,-30.416544540696805,-1.7087669611896776,-6.386669653994173
63,on2,M0MDN3-CWAF22,M0MDN3-CWAF23_200813_084803_s0a0_p6-0,-16.648785887819066,-10.619550543315523,-5.8785419260300324
64,on2,M0MDN3-CWAF22,M0MDN3-CWAF23_200730_102203_s0a0_p6-0,-37.72614959443398,-13.434295313093624,-7.26717420468073
65,on2,M0MDN3-CWAF22,M0MDN3-CWAF12_200724_094740_s0a0_p6-0,-14.834910137178861,-6.778835775058989,-5.284708316870813
66,on2,M0MDN3-CWAF22,M0MDN3-CWAF12_200710_110611_s0a0_p6-0,-12.764892558041657,-5.0165199549633,-6.76998171822851
67,on2,M0MDN3-CWAF22,M0MDN3-CWAF12_200806_084701_s0a0_p6-0,,,
68,on2,M0MDN3-CWAF22,M0MDN3-CWAF21_200728_085651_s0a0_p6-0,-29.20914219010709,-11.20503528687148,-6.718442450055341
69,on2,M0MDN3-CWAF22,M0MDN3-CWAF21_200811_090600_s0a0_p6-0,-17.14051092281929,-1.3963410497090984,-6.2889569121009385
70,on2,M0MDN3-CWAF22,M0MDN3-CWAF21_200714_092330_s0a0_p6-0,-31.11557238848063,-6.648182503499271,-7.170035958547877
71,on2,M0MDN3-CWAF22,M0MDN3-CWAF11_200702_115020_s0a0_p6-0,-73.21663702666966,-13.135039844413338,-6.9663349523926446
72,on2,M0MDN3-CWAF22,M0MDN3-CWAF10_200702_113933_s0a0_p6-0,-1.884870657409608,-0.49760385462264856,-0.8095960777906831
73,on2,M0MDN3-CWAF22,M0MDN3-CWAF37_200724_125201_s0a0_p6-0,,,
74,on2,M0MDN3-CWAF22,M0MDN3-CWAF20_200714_085826_s0a0_p6-0,-93.1855321980229,-14.674453281300234,-11.585489862728213
75,on2,M0MDN3-CWAF22,M0MDN3-CWAF40_200807_095810_s0a0_p6-0,-43.33806702504344,-7.713977466603037,-6.861739774794717
76,on2,M0MDN3-CWAF22,M0MDN3-CWAF40_200724_112522_s0a0_p6-0,,,
77,on2,M0MDN3-CWAF22,M0MDN3-CWAF15_200806_090806_s0a0_p6-0,-41.97692282300999,-11.051547905312772,-10.78637486913689
78,on2,M0MDN3-CWAF22,M0MDN3-CWAF15_200710_120500_s0a0_p6-0,-7.8736806553748435,-6.659083150883315,-6.7056581802959165
79,on2,M0MDN3-CWAF22,M0MDN3-CWAF15_200724_105300_s0a0_p6-0,,,
80,on2,M0MDN3-CWAF22,M0MDN3-CWAF9_200702_110714_s0a0_p6-0,-3.186561027322976,-4.08723027700956,-8.022227016260775
81,on2,M0MDN3-CWAF22,M0MDN3-CWAF9_200717_094459_s0a0_p6-0,-3.177954495153106,-0.6560606583012678,-5.955436590978487
82,on2,M0MDN3-CWAF22,M0MDN3-CWAF9_200730_100716_s0a0_p6-0,-2.289221219712963,-0.08234151899567149,-0.3606863863423193
83,on2,M0MDN3-CWAF22,M0MDN3-CWAF18_200811_090302_s0a0_p6-0,,,
84,on2,M0MDN3-CWAF22,M0MDN3-CWAF18_200714_084029_s0a0_p6-0,-85.9878978914303,-11.993718449611865,-11.930650485690444
85,on2,M0MDN3-CWAF22,M0MDN3-CWAF18_200728_085303_s0a0_p6-0,-27.539850159267782,-9.00663646313717,-6.912330720443547
86,on2,M0MDN3-CWAF22,M0MDN3-CWAF34_200807_084709_s0a0_p6-0,-43.47120790388835,-8.80007392010609,-8.419583041428133
87,on2,M0MDN3-CWAF22,M0MDN3-CWAF34_200724_132021_s0a0_p6-0,-60.98675065917512,-18.729534352487953,-10.898508246065125
88,on2,M0MDN3-CWAF22,M0MDN3-CWAF34_200820_095200_s0a0_p6-0,-29.665250327652753,-14.246401194379702,-7.320811876476409
0,on0,M0MDN3-EF14,M0MDN3-EF14_200806_085901_s0a0_p6-0,-32.47962506104793,-7.653035637087044,-5.862566594513235
1,on0,M0MDN3-EF14,M0MDN3-EF14_200724_095604_s0a0_p6-0,-33.41230886225679,-12.728978721888279,-6.099542091089337
2,on0,M0MDN3-EF14,M0MDN3-EF14_200710_121010_s0a0_p6-0,-2.8654582424653507,-4.071939709274935,-4.600696091990784
3,on0,M0MDN3-EF14,M0MDN3-EF21_200714_092030_s0a0_p6-0,-35.30245855952338,-2.2723502586225286,-7.2884380211330795
4,on0,M0MDN3-EF14,M0MDN3-EF28_200820_090013_s0a0_p6-0,,,
5,on0,M0MDN3-EF14,M0MDN3-EF28_200806_093417_s0a0_p6-0,-45.662436905820876,-13.451254687506385,-9.520325877615315
6,on0,M0MDN3-EF14,M0MDN3-EF28_200724_144000_s0a0_p6-0,-41.01293011616434,-22.062360487612676,-12.781229211233033
7,on0,M0MDN3-EF14,M0MDN3-EF32_200820_091522_s0a0_p6-0,-22.330274376049903,-3.6435730825117125,-4.867916520744933
8,on0,M0MDN3-EF14,M0MDN3-EF32_200724_140502_s0a0_p6-0,-14.643275224737705,-10.983950302592557,-12.672744705932695
9,on0,M0MDN3-EF14,M0MDN3-EF32_200807_083526_s0a0_p6-0,-29.24685890725962,-11.040757734203744,-6.3944027960139165
10,on0,M0MDN3-EF14,M0MDN3-EF20_200728_090315_s0a0_p6-0,-3.1358166949274766,-1.6946180291637136,-2.4838918528141054
11,on0,M0MDN3-EF14,M0MDN3-EF20_200714_085525_s0a0_p6-0,-61.6926367452022,-10.021801900396008,-13.706895879825318
12,on0,M0MDN3-EF14,M0MDN3-EF8_200717_091358_s0a0_p6-0,-32.8435764034381,-9.685714391885089,-8.57479417437199
13,on0,M0MDN3-EF14,M0MDN3-EF8_200702_105001_s0a0_p6-0,-43.36837389855921,-6.661162287749317,-8.964780280481586
14,on0,M0MDN3-EF14,M0MDN3-EF8_200730_094033_s0a0_p6-0,-2.3041210885164873,-9.771542161409691,-7.167586463518107
15,on0,M0MDN3-EF14,M0MDN3-EF27_200804_085306_s0a0_p6-0,-9.301563004397632,-7.545159646388242,-4.159192958043911
16,on0,M0MDN3-EF14,M0MDN3-EF27_200720_082700_s0a0_p6-0,-85.08252783843872,-5.6139299778004155,-11.061031437432808
17,on0,M0MDN3-EF14,M0MDN3-EF23_200717_104300_s0a0_p6-0,-28.935400342978703,-16.893287617129587,-8.906385966281993
18,on0,M0MDN3-EF14,M0MDN3-EF23_200813_085103_s0a0_p6-0,-37.91971601193837,-5.558878424789418,-8.63810935812674
19,on0,M0MDN3-EF14,M0MDN3-EF23_200730_101904_s0a0_p6-0,-39.65573580063079,-14.769834836877468,-8.9300932862979
20,on0,M0MDN3-EF14,M0MDN3-EF24_200717_103700_s0a0_p6-0,-12.400930796242461,-11.922774150445772,-8.598502807456779
21,on0,M0MDN3-EF14,M0MDN3-EF24_200813_085402_s0a0_p6-0,-47.33196077613877,-17.605875719959425,-9.759372604465176
22,on0,M0MDN3-EF14,M0MDN3-EF24_200730_104105_s0a0_p6-0,-24.335258176405535,-10.882606368166305,-5.453029322443299
23,on0,M0MDN3-EF14,M0MDN3-EF5_200626_114107_s0a0_p6-0,-7.3277254992874825,-8.42810509314656,-5.16200980494775
24,on0,M0MDN3-EF14,M0MDN3-EF7_200702_102001_s0a0_p6-0,-23.776574618265773,-7.934614799231036,-5.556664818735149
25,on0,M0MDN3-EF14,M0MDN3-EF7_200730_093405_s0a0_p6-0,-26.349624020025427,-6.851943478294279,-4.843514763683428
26,on0,M0MDN3-EF14,M0MDN3-EF7_200717_090800_s0a0_p6-0,-41.72609063122586,-4.566385250901272,-8.860424144157337
27,on0,M0MDN3-EF14,M0MDN3-EF11_200702_114649_s0a0_p6-0,-0.5340853821808589,-0.709224296191473,-0.959828608882048
28,on0,M0MDN3-EF14,M0MDN3-EF15_200710_120157_s0a0_p6-0,-19.40333483584978,-4.602251107411391,-7.607455376481808
29,on0,M0MDN3-EF14,M0MDN3-EF15_200724_105559_s0a0_p6-0,-22.199110953942267,-9.523181405320594,-5.584902233793332
30,on0,M0MDN3-EF14,M0MDN3-EF17_200806_092804_s0a0_p6-0,,,
31,on0,M0MDN3-EF14,M0MDN3-EF17_200724_104338_s0a0_p6-0,,,
32,on0,M0MDN3-EF14,M0MDN3-EF17_200710_123937_s0a0_p6-0,-42.01122912020179,-15.426742847588036,-12.583387204515322
33,on0,M0MDN3-EF14,M0MDN3-EF12_200710_110918_s0a0_p6-0,-1.3902989503516179,-2.1962016272530787,-3.1321736003287555
34,on0,M0MDN3-EF14,M0MDN3-EF12_200724_094502_s0a0_p6-0,-26.007557265853738,-4.320305933038303,-5.002031660339642
35,on0,M0MDN3-EF14,M0MDN3-EF37_200807_092515_s0a0_p6-0,-24.61362652498168,-8.69602893180846,-5.223568247378309
36,on0,M0MDN3-EF14,M0MDN3-EF37_200820_102701_s0a0_p6-0,-32.826487993578596,-1.232289603017701,-6.912190537911016
37,on0,M0MDN3-EF14,M0MDN3-EF37_200724_124633_s0a0_p6-0,-18.529999114105895,-19.958936718793822,-10.170422142651107
38,on0,M0MDN3-EF14,M0MDN3-EF10_200730_101318_s0a0_p6-0,-23.164336542147538,-3.7880707613456384,-5.248161029691297
39,on0,M0MDN3-EF14,M0MDN3-EF10_200702_113602_s0a0_p6-0,-109.04347370112768,-1.4994686756963085,-11.720261101862633
40,on0,M0MDN3-EF14,M0MDN3-EF10_200717_095113_s0a0_p6-0,-35.04587520491665,-4.664200547753879,-6.622755693898396
41,on0,M0MDN3-EF14,M0MDN3-EF25_200813_090303_s0a0_p6-0,-95.62732657420366,-21.250897081544643,-13.407317838443507
42,on0,M0MDN3-EF14,M0MDN3-EF25_200730_104802_s0a0_p6-0,-20.137421180824155,-15.257318431282897,-6.95275773452858
43,on0,M0MDN3-EF14,M0MDN3-EF25_200717_110900_s0a0_p6-0,-4.409968271249441,-5.982444388776761,-9.13849257945084
44,on0,M0MDN3-EF14,M0MDN3-EF26_200730_105425_s0a0_p6-0,-39.956811174113234,-7.184899920277919,-8.24949940898709
45,on0,M0MDN3-EF14,M0MDN3-EF26_200717_111612_s0a0_p6-0,-23.25267106041909,-14.989443684444245,-8.00073757321573
46,on0,M0MDN3-EF14,M0MDN3-EF30_200806_095602_s0a0_p6-0,-67.59071543721865,-16.612915227187923,-7.767504619901407
47,on0,M0MDN3-EF14,M0MDN3-EF30_200724_141701_s0a0_p6-0,-28.367216954206956,-0.026795197995513095,-1.249103025784368
48,on0,M0MDN3-EF14,M0MDN3-EF2_200710_103134_s0a0_p6-0,-47.11685836934037,-17.76919939296672,-9.505958398917993
49,on0,M0MDN3-EF14,M0MDN3-EF2_200724_091746_s0a0_p6-0,-21.14563118697652,-6.780177699993785,-4.66798438204524
50,on0,M0MDN3-EF14,M0MDN3-EF6_200702_101102_s0a0_p6-0,-27.157540890425366,-2.3093886351529904,-4.8907504295707485
51,on0,M0MDN3-EF14,M0MDN3-EF6_200730_092727_s0a0_p6-0,-27.843897048972796,-4.443651943082479,-5.020190093541253
52,on0,M0MDN3-EF14,M0MDN3-EF6_200717_090303_s0a0_p6-0,,,
53,on0,M0MDN3-EF14,M0MDN3-EF35_200724_125500_s0a0_p6-0,-44.096242058236484,-6.088415950881676,-10.041904829048914
54,on0,M0MDN3-EF14,M0MDN3-EF35_200807_091001_s0a0_p6-0,,,
55,on0,M0MDN3-EF14,M0MDN3-EF35_200820_095512_s0a0_p6-0,-27.325695504694878,-11.969441091760428,-5.311839718491721
56,on0,M0MDN3-EF14,M0MDN3-EF9_200730_100004_s0a0_p6-0,-87.7721110309714,-9.396174596329427,-8.788252909724
57,on0,M0MDN3-EF14,M0MDN3-EF9_200717_094230_s0a0_p6-0,-83.14344531898162,-5.1944146946941405,-10.755217708452982
58,on0,M0MDN3-EF14,M0MDN3-EF9_200702_110335_s0a0_p6-0,,,
59,on0,M0MDN3-EF14,M0MDN3-EF38_200820_103904_s0a0_p6-0,-41.850960540582136,-19.019165311928106,-9.25845208372632
60,on0,M0MDN3-EF14,M0MDN3-EF38_200724_113459_s0a0_p6-0,0.0,0.0,5.109672697928762
61,on0,M0MDN3-EF14,M0MDN3-EF38_200807_094201_s0a0_p6-0,-68.71594179157732,-13.63236379278291,-14.274615818763028
62,on0,M0MDN3-EF14,M0MDN3-EF36_200724_123915_s0a0_p6-0,-37.83123069999114,-1.220570465481091,-8.566343085057495
63,on0,M0MDN3-EF14,M0MDN3-EF36_200807_091312_s0a0_p6-0,-32.36088821074356,-4.660802372160354,-6.2077516031332625
64,on0,M0MDN3-EF14,M0MDN3-EF36_200820_100426_s0a0_p6-0,-38.423893190101154,-12.247175388984552,-8.042564337255586
65,on0,M0MDN3-EF14,M0MDN3-EF34_200820_094928_s0a0_p6-0,-31.3528032700322,-10.569231175091407,-6.801475573776136
66,on0,M0MDN3-EF14,M0MDN3-EF34_200724_132400_s0a0_p6-0,-90.7329997226269,-11.34365852845898,-11.039477701008417
67,on0,M0MDN3-EF14,M0MDN3-EF34_200807_085000_s0a0_p6-0,-96.49696439177383,-6.144265671224017,-10.245678964331022
68,on0,M0MDN3-EF14,M0MDN3-EF1_200724_091357_s0a0_p6-0,-30.245852903099507,-3.999298195519588,-6.34022803643868
69,on0,M0MDN3-EF14,M0MDN3-EF1_200710_102902_s0a0_p6-0,,,
70,on0,M0MDN3-EF14,M0MDN3-EF40_200724_112223_s0a0_p6-0,,,
71,on0,M0MDN3-EF14,M0MDN3-EF3_200626_112504_s0a0_p6-0,-23.978579549148584,-14.010809194032927,-8.040095017028772
72,on0,M0MDN3-EF14,M0MDN3-EF16_200724_105005_s0a0_p6-0,-53.12161671226528,-13.909138961026853,-8.828240558460562
73,on0,M0MDN3-EF14,M0MDN3-EF16_200710_124532_s0a0_p6-0,-38.11413879548583,-6.147895717593964,-9.239408175926986
74,on0,M0MDN3-EF14,M0MDN3-EF16_200806_092216_s0a0_p6-0,-6.291112272091978,-16.45503524289986,-10.802023895456635
75,on0,M0MDN3-EF14,M0MDN3-EF33_200820_094003_s0a0_p6-0,-21.46011798613833,-8.0346618258673,-4.06850012285076
76,on0,M0MDN3-EF14,M0MDN3-EF33_200807_083804_s0a0_p6-0,-1.159509651370308,-8.560161618839166,-3.774296225592841
77,on0,M0MDN3-EF14,M0MDN3-EF33_200724_133000_s0a0_p6-0,-53.157428120328085,-6.523368760619508,-10.453548668291663
78,on0,M0MDN3-EF14,M0MDN3-EF19_200811_085811_s0a0_p6-0,0.0,-2.545897518921625,-3.997523567673093
79,on0,M0MDN3-EF14,M0MDN3-EF19_200728_090005_s0a0_p6-0,,,
80,on0,M0MDN3-EF14,M0MDN3-EF19_200714_084557_s0a0_p6-0,-26.313753316170573,-15.48690107485605,-9.33784746291893
0,on1,M0MDN3-EF14,M0MDN3-EF14_200806_085901_s0a0_p6-0,-28.06902473973732,-7.798831347335963,-5.298123994898151
1,on1,M0MDN3-EF14,M0MDN3-EF14_200724_095604_s0a0_p6-0,-35.19985985672864,-0.2367510411503923,-4.604387536098892
2,on1,M0MDN3-EF14,M0MDN3-EF14_200710_121010_s0a0_p6-0,,,
3,on1,M0MDN3-EF14,M0MDN3-EF21_200714_092030_s0a0_p6-0,-7.788068025176824,-5.897879469289338,-4.503780851532075
4,on1,M0MDN3-EF14,M0MDN3-EF28_200820_090013_s0a0_p6-0,-77.79194873998976,-9.846616727461097,-8.364092172327988
5,on1,M0MDN3-EF14,M0MDN3-EF28_200806_093417_s0a0_p6-0,-8.661496585172472,-11.303056833078527,-4.970208407047137
6,on1,M0MDN3-EF14,M0MDN3-EF28_200724_144000_s0a0_p6-0,-53.819432042594315,-18.887039719633435,-10.371289281060578
7,on1,M0MDN3-EF14,M0MDN3-EF32_200820_091522_s0a0_p6-0,-18.153864271620588,-3.6583755568440397,-4.143226185489063
8,on1,M0MDN3-EF14,M0MDN3-EF32_200724_140502_s0a0_p6-0,-34.16066491435531,-8.125510536185155,-11.58360888250735
9,on1,M0MDN3-EF14,M0MDN3-EF32_200807_083526_s0a0_p6-0,-34.04462963580812,-7.3120261075514,-7.297851763945435
10,on1,M0MDN3-EF14,M0MDN3-EF20_200728_090315_s0a0_p6-0,-4.647646848283726,-1.6349432849328418,-3.3403337518140837
11,on1,M0MDN3-EF14,M0MDN3-EF20_200714_085525_s0a0_p6-0,-35.64849124975369,-6.012875915866973,-8.463566372288447
12,on1,M0MDN3-EF14,M0MDN3-EF8_200717_091358_s0a0_p6-0,-49.00280336284057,-17.862832092054976,-10.28714983071635
13,on1,M0MDN3-EF14,M0MDN3-EF8_200702_105001_s0a0_p6-0,-34.06069217287682,-0.40299096563301917,-5.110297347509685
14,on1,M0MDN3-EF14,M0MDN3-EF8_200730_094033_s0a0_p6-0,-34.93005165677601,-10.884294268305336,-7.455918960927784
15,on1,M0MDN3-EF14,M0MDN3-EF27_200804_085306_s0a0_p6-0,-6.945992718530348,-10.698279791018772,-4.796925005818225
16,on1,M0MDN3-EF14,M0MDN3-EF27_200720_082700_s0a0_p6-0,-83.43520019645428,-15.785459049739085,-10.38049054603256
17,on1,M0MDN3-EF14,M0MDN3-EF23_200717_104300_s0a0_p6-0,-19.79776567601692,-14.163232635888553,-8.025019097820989
18,on1,M0MDN3-EF14,M0MDN3-EF23_200813_085103_s0a0_p6-0,-98.43230378682942,-14.700486093677258,-11.79434634539326
19,on1,M0MDN3-EF14,M0MDN3-EF23_200730_101904_s0a0_p6-0,-4.568072228513116,-5.590368842705052,-5.526240388384969
20,on1,M0MDN3-EF14,M0MDN3-EF24_200717_103700_s0a0_p6-0,-57.6599039091371,-4.102450557738552,-9.905646568868258
21,on1,M0MDN3-EF14,M0MDN3-EF24_200813_085402_s0a0_p6-0,-30.333052539066568,-4.3136570910309775,-6.9427411991639305
22,on1,M0MDN3-EF14,M0MDN3-EF24_200730_104105_s0a0_p6-0,-22.09780517680942,-9.78581099323689,-5.325457401200205
23,on1,M0MDN3-EF14,M0MDN3-EF5_200626_114107_s0a0_p6-0,-18.603073294493356,-1.4964677741750083,-4.808075650479932
24,on1,M0MDN3-EF14,M0MDN3-EF7_200702_102001_s0a0_p6-0,-28.46022541023632,-8.092464086708347,-6.15339794994227
25,on1,M0MDN3-EF14,M0MDN3-EF7_200730_093405_s0a0_p6-0,-7.214741771160082,-6.325374420393192,-3.5347697900475157
26,on1,M0MDN3-EF14,M0MDN3-EF7_200717_090800_s0a0_p6-0,-40.33751390451486,-8.929310074732195,-9.317310369096496
27,on1,M0MDN3-EF14,M0MDN3-EF11_200702_114649_s0a0_p6-0,,,
28,on1,M0MDN3-EF14,M0MDN3-EF15_200710_120157_s0a0_p6-0,-11.347018424627626,-6.411792610357682,-5.960694294994067
29,on1,M0MDN3-EF14,M0MDN3-EF15_200724_105559_s0a0_p6-0,-30.371500703058125,-10.047524892203727,-7.083581644032243
30,on1,M0MDN3-EF14,M0MDN3-EF17_200806_092804_s0a0_p6-0,-12.887831603304967,-3.1191512587875363,-2.736351178991274
31,on1,M0MDN3-EF14,M0MDN3-EF17_200724_104338_s0a0_p6-0,-6.949837717478921,-1.0921887740933456,-3.1574751635143024
32,on1,M0MDN3-EF14,M0MDN3-EF17_200710_123937_s0a0_p6-0,-22.78900649172195,-14.120504651170101,-7.2199847842148746
33,on1,M0MDN3-EF14,M0MDN3-EF12_200710_110918_s0a0_p6-0,,,
34,on1,M0MDN3-EF14,M0MDN3-EF12_200724_094502_s0a0_p6-0,,,
35,on1,M0MDN3-EF14,M0MDN3-EF37_200807_092515_s0a0_p6-0,-24.648441869061543,-1.0878065636089524,-5.599037912385674
36,on1,M0MDN3-EF14,M0MDN3-EF37_200820_102701_s0a0_p6-0,-58.95998161210459,-8.83567262427286,-9.48432064311511
37,on1,M0MDN3-EF14,M0MDN3-EF37_200724_124633_s0a0_p6-0,,,
38,on1,M0MDN3-EF14,M0MDN3-EF10_200730_101318_s0a0_p6-0,-10.80197167770374,-16.106608999720724,-8.751082979125531
39,on1,M0MDN3-EF14,M0MDN3-EF10_200702_113602_s0a0_p6-0,,,
40,on1,M0MDN3-EF14,M0MDN3-EF10_200717_095113_s0a0_p6-0,-35.87086506221127,-8.430639554796006,-8.977836344457922
41,on1,M0MDN3-EF14,M0MDN3-EF25_200813_090303_s0a0_p6-0,-78.71665120167818,-17.464856312067116,-12.720211587635914
42,on1,M0MDN3-EF14,M0MDN3-EF25_200730_104802_s0a0_p6-0,-27.79991560894816,-15.16121210935814,-7.562435887737893
43,on1,M0MDN3-EF14,M0MDN3-EF25_200717_110900_s0a0_p6-0,-46.825681522110095,-15.394317676308718,-10.732383854681512
44,on1,M0MDN3-EF14,M0MDN3-EF26_200730_105425_s0a0_p6-0,-63.93094692294702,-9.158564831404844,-7.508592216923073
45,on1,M0MDN3-EF14,M0MDN3-EF26_200717_111612_s0a0_p6-0,-31.87513057950463,-8.198580064425212,-6.294128400262467
46,on1,M0MDN3-EF14,M0MDN3-EF30_200806_095602_s0a0_p6-0,-29.65231030681928,-2.598204327251112,-5.540329623192032
47,on1,M0MDN3-EF14,M0MDN3-EF30_200724_141701_s0a0_p6-0,-41.875267226247125,-12.146185534404507,-9.390065233164098
48,on1,M0MDN3-EF14,M0MDN3-EF2_200710_103134_s0a0_p6-0,-21.983282952552553,-4.818037328351491,-7.0547055665964065
49,on1,M0MDN3-EF14,M0MDN3-EF2_200724_091746_s0a0_p6-0,-15.310819445488669,-10.163983878908319,-5.880807250382557
